vocal,drums,guitar,pop_rock,ambient,electronic,genre,instrument
0.07422528,0.06979248,0.32476974,0.121096194,0.028315961,0.08504462,pop_rock,guitar
0.14024052,0.08193481,0.29835558,0.16932711,0.061353862,0.121335745,pop_rock,guitar
0.032667756,0.094190806,0.3099779,0.0859516,0.05256304,0.1105195,electronic,guitar
0.072903186,0.09001225,0.3597325,0.108435065,0.03728667,0.075357705,pop_rock,guitar
0.060094416,0.08465481,0.3549556,0.10797948,0.10576132,0.2449865,electronic,guitar
0.0809418,0.12261513,0.25016707,0.11764684,0.15119544,0.2215462,electronic,guitar
0.13304543,0.13714713,0.40091372,0.14167657,0.09747997,0.13979468,pop_rock,guitar
0.12130022,0.1395781,0.46769783,0.15709087,0.028721243,0.039144874,pop_rock,guitar
0.060311615,0.10409117,0.44846562,0.1691939,0.0227516,0.06460607,pop_rock,guitar
0.08229068,0.087270916,0.4389979,0.14763343,0.030525595,0.07393822,pop_rock,guitar
0.053741664,0.07138389,0.33605778,0.11774722,0.053772777,0.26824024,electronic,guitar
