vocal,drums,guitar,pop_rock,ambient,electronic,genre,instrument
0.35045388,0.07887885,0.095871925,0.13066316,0.0077956617,0.009636819,pop_rock,vocal
0.35158208,0.087202966,0.1009478,0.10569665,0.018302947,0.010086209,pop_rock,vocal
0.3527587,0.12096813,0.13973919,0.19312379,0.015847147,0.019139498,pop_rock,vocal
0.22373548,0.09709954,0.10320097,0.10621017,0.033469528,0.06314194,pop_rock,vocal
0.21464846,0.0801442,0.07781544,0.1500167,0.019912094,0.058795333,pop_rock,vocal
0.21228054,0.10010579,0.039220095,0.20185024,0.024006277,0.12879953,pop_rock,vocal
0.19091684,0.08269063,0.081329644,0.2922216,0.014784455,0.13228428,pop_rock,vocal
0.2273131,0.073070645,0.07820344,0.2618779,0.03987676,0.23439106,pop_rock,vocal
0.22186613,0.092972904,0.13771442,0.27425373,0.031324327,0.10333684,pop_rock,vocal
0.21675879,0.06445503,0.046762586,0.27747107,0.031868577,0.19607073,pop_rock,vocal
0.1944274,0.049195737,0.036662698,0.28499222,0.01176548,0.1120998,pop_rock,vocal
0.25362706,0.045226514,0.026334375,0.32030874,0.007927477,0.12872863,pop_rock,vocal
0.19483909,0.05524707,0.07640687,0.29397184,0.01529178,0.1755273,pop_rock,vocal
