vocal,drums,guitar,pop_rock,ambient,electronic,genre,instrument
0.06966302,0.23014751,0.071748555,0.42993298,0.048962295,0.12914968,pop_rock,drums
0.051156044,0.31221065,0.10103977,0.39775512,0.04906696,0.077797025,pop_rock,drums
0.078371525,0.23930681,0.14271471,0.53175664,0.028702974,0.024284303,pop_rock,drums
0.084122956,0.18504792,0.1740079,0.42096186,0.037770152,0.028320163,pop_rock,drums
0.0986951,0.1785286,0.17700434,0.36883777,0.033910066,0.027446926,pop_rock,drums
0.06455618,0.13309932,0.15436387,0.25894105,0.03984788,0.042033613,pop_rock,guitar
0.051704437,0.17303416,0.21395579,0.27945656,0.024450243,0.03130099,pop_rock,guitar
0.06526092,0.2095378,0.28932807,0.39754012,0.01601255,0.030451298,pop_rock,guitar
0.0683929,0.24218693,0.2930993,0.45992556,0.015203625,0.035095364,pop_rock,guitar
0.062956244,0.2449565,0.20322868,0.41310042,0.023220599,0.07935792,pop_rock,drums
0.08183128,0.13275805,0.3085203,0.4849515,0.013818145,0.045896202,pop_rock,guitar
0.11059934,0.11116055,0.3592649,0.5549458,0.0062733293,0.02002576,pop_rock,guitar
0.10634735,0.1527211,0.30254787,0.4233833,0.0073003173,0.027473897,pop_rock,guitar
0.040797174,0.20462468,0.2170319,0.28549993,0.008150786,0.04276958,pop_rock,guitar
