vocal,drums,guitar,pop_rock,ambient,electronic,genre,instrument
0.007881492,0.13995284,0.2723721,0.14771116,0.15019816,0.042764932,ambient,guitar
0.0013380051,0.033220887,0.09811193,0.023108393,0.34416586,0.022542924,ambient,guitar
0.0008483231,0.039004207,0.13852158,0.041679054,0.23882571,0.014252812,ambient,guitar
0.0010101199,0.042923838,0.17828405,0.03433448,0.20647827,0.012803793,ambient,guitar
0.014571637,0.124353886,0.577102,0.53379023,0.056328863,0.02075386,pop_rock,guitar
0.025681049,0.13487989,0.5787281,0.63841265,0.02785042,0.015798956,pop_rock,guitar
0.028784394,0.13307068,0.5578241,0.7405522,0.011061996,0.009985179,pop_rock,guitar
0.03893408,0.28655064,0.4655845,0.86286736,0.0034957528,0.004671484,pop_rock,guitar
0.0265252,0.41473308,0.41752383,0.86716074,0.002595365,0.0067102313,pop_rock,guitar
0.027517617,0.49158776,0.3125804,0.8389528,0.0028327107,0.015619665,pop_rock,drums
0.01240772,0.4406534,0.18792585,0.7577706,0.003548354,0.03829676,pop_rock,drums
0.0189856,0.45808038,0.2922695,0.82092345,0.0019561648,0.0128178,pop_rock,drums
0.014110655,0.3791385,0.25637406,0.8000443,0.00389117,0.016067743,pop_rock,drums
0.017432332,0.3801637,0.2831617,0.83732593,0.0040629804,0.010379374,pop_rock,drums
0.018652588,0.30023283,0.22598222,0.7985976,0.00733909,0.031135231,pop_rock,drums
0.013279974,0.28689063,0.17245638,0.7242191,0.0089482665,0.04966688,pop_rock,drums
0.01389271,0.23101178,0.1418637,0.68083835,0.015132546,0.105843425,pop_rock,drums
0.023276925,0.3266356,0.30757236,0.80653703,0.0053427517,0.02818045,pop_rock,drums
0.025482595,0.3768376,0.4529618,0.91447854,0.0009371042,0.0029669702,pop_rock,guitar
0.02772072,0.44902995,0.50753367,0.93851984,0.00041347742,0.0011177659,pop_rock,guitar
